trial,food,genotype,sex,color,birthdate,lightslefton,nonvirgin,lifestatus
1,2,136x427,F,NR,2/10/17,1,0,
1,2,208x313,F,CO,2/10/17,1,0,
1,2,237x714,F,CY,2/10/17,1,0,
1,2,306x774,F,LG,2/10/17,1,0,
1,2,315x229,F,CG,2/10/17,1,0,
1,2,335x365,F,UB,2/10/17,1,0,
1,2,360x380,F,BB,2/10/17,1,0,
1,2,387x324,F,BP,2/10/17,1,0,
1,2,786x716,F,PP,2/10/17,1,0,
1,2,852x721,F,TW,2/10/17,1,0,
1,2,153x517,M,LG,2/10/17,1,0,
1,2,235x712,M,CG,2/10/17,1,0,
1,2,307x176,M,UB,2/10/17,1,0,
1,2,378x765,M,BB,2/10/17,1,0,
1,2,57x862,M,CO,2/10/17,1,0,
1,2,59x820,M,CY,2/10/17,1,0,
1,2,637x318,M,BP,2/10/17,1,0,
1,2,732x40,M,PP,2/10/17,1,0,
1,2,801x513,M,TW,2/10/17,1,0,
1,2,855x391,M,NR,2/10/17,1,0,
2,2,136x427,F,TW,2/10/17,1,0,
2,2,208x313,F,NR,2/10/17,1,0,
2,2,237x714,F,CO,2/10/17,1,0,
2,2,306x774,F,CY,2/10/17,1,0,
2,2,315x229,F,LG,2/10/17,1,0,
2,2,335x365,F,CG,2/10/17,1,0,
2,2,360x380,F,UB,2/10/17,1,0,
2,2,387x324,F,BB,2/10/17,1,0,
2,2,786x716,F,BP,2/10/17,1,0,
2,2,852x721,F,PP,2/10/17,1,0,
2,2,153x517,M,CY,2/10/17,1,0,
2,2,235x712,M,LG,2/10/17,1,0,
2,2,307x176,M,CG,2/10/17,1,0,
2,2,378x765,M,UB,2/10/17,1,0,
2,2,57x862,M,NR,2/10/17,1,0,
2,2,59x820,M,CO,2/10/17,1,0,
2,2,637x318,M,BB,2/10/17,1,0,
2,2,732x40,M,BP,2/10/17,1,0,
2,2,801x513,M,PP,2/10/17,1,0,
2,2,855x391,M,TW,2/10/17,1,0,
3,1,136x427,F,PP,2/10/17,1,0,
3,1,208x313,F,TW,2/10/17,1,0,
3,1,237x714,F,NR,2/10/17,1,0,
3,1,306x774,F,CO,2/10/17,1,0,
3,1,315x229,F,CY,2/10/17,1,0,
3,1,335x365,F,LG,2/10/17,1,0,
3,1,360x380,F,CG,2/10/17,1,0,
3,1,387x324,F,UB,2/10/17,1,0,
3,1,786x716,F,BB,2/10/17,1,0,
3,1,852x721,F,BP,2/10/17,1,0,
3,1,153x517,M,CO,2/10/17,1,0,
3,1,235x712,M,CY,2/10/17,1,0,
3,1,307x176,M,LG,2/10/17,1,0,
3,1,378x765,M,CG,2/10/17,1,0,
3,1,57x862,M,TW,2/10/17,1,0,
3,1,59x820,M,NR,2/10/17,1,0,
