NA,"124","681","1316","627","760","294","1033","534","613","3136","779","294","3183","990","1390","1143","2726","3907","282"
"144",NA,"883","359","1501","1507","763","791","181","750","394","1364","576","696","476","84","998","1218","542","2564"
"678","946",NA,"617","480","1374","1162","714","565","404","223","1819","687","1014","955","294","554","1179","286","592"
"1284","359","661",NA,"634","824","613","500","1315","1078","649","2393","1387","1784","526","238","1833","965","544","793"
"611","1495","554","594",NA,"760","1365","607","675","847","365","1798","589","1388","976","338","787","1620","734","960"
"832","1456","1350","885","830",NA,"1469","1777","676","1490","152","1232","1053","1236","918","20","222","1028","250","583"
"239","729","1176","365","1247","1491",NA,"1059","890","1042","65","1262","1193","1173","437","395","223","1136","610","1163"
"1253","799","792","459","579","1640","1120",NA,"682","332","1943","776","396","1439","518","1031","1695","456","396","1280"
"477","256","529","1169","478","741","984","775",NA,"463","168","549","417","264","518","490","312","236","115","841"
"571","877","518","976","863","1496","930","287","405",NA,"331","921","628","688","514","613","940","1010","518","993"
"1512","305","150","301","268","133","65","2118","151","295",NA,"408","718","109","1952","988","1067","293","961","0"
"781","1412","1792","1319","1286","1308","1211","624","495","738","410",NA,"904","705","640","488","467","1168","425","405"
"282","339","602","1141","571","1056","1036","409","427","422","700","780",NA,"496","2006","645","93","642","311","0"
"1668","731","1122","828","1428","1020","1310","1174","315","651","127","737","668",NA,"623","158","423","541","473","1363"
"660","337","907","318","732","888","386","525","421","391","2210","653","1663","513",NA,"1248","571","639","371","707"
"1170","85","245","206","142","0","288","963","440","624","627","498","877","158","1109",NA,"556","1996","48","1964"
"973","952","635","1188","629","179","198","1686","518","920","952","399","93","302","516","413",NA,"351","325","1542"
"2234","1212","1244","877","1636","945","1194","441","241","721","297","1092","774","578","533","1664","377",NA,"485","2773"
"1574","415","286","653","852","235","523","367","106","425","1025","495","671","476","444","73","283","490",NA,"392"
"327","2584","560","913","1138","551","1096","1361","654","689","0","417","0","1302","686","1927","1460","2946","354",NA
